"Name,""Source"",""Page"",""Size"",""Type"",""Alignment"",""AC"",""HP"",""Speed"",""Strength"",""Dexterity"",""Constitution"",""Intelligence"",""Wisdom"",""Charisma"",""Saving Throws"",""Skills"",""Damage Vulnerabilities"",""Damage Resistances"",""Damage Immunities"",""Condition Immunities"",""Senses"",""Languages"",""CR"",""Traits"",""Actions"",""Bonus Actions"",""Reactions"",""Legendary Actions"",""Mythic Actions"",""Lair Actions"",""Regional Effects"",""Environment"",""Treasure""";;;;;;;
"Miirym,""CM"",""16"",""Large"",""Undead"","""",""10"",""262 (25d10 + 125)"",""0 ft., Fly 60 ft. (hover)"",""17"",""10"",""20"",""18"",""15"",""23"",""Dex +7, Con +12, Int +11, Wis +9, Cha +13"",""Arcana +11, History +11, Perception +16, Stealth +14"","""",""acid, fire, lightning, thunder"",""cold, necrotic, poison"",""charmed, exhaustion, frightened, grappled, paralyzed, poisoned, prone, restrained"",""Blindsight 60 ft., Darkvision 120 ft.";" see also """"x-ray vision"""" below, passive Perception 26"",""Common, Draconic"",""22 (XP 41.000";" PB +7)"",""Bound to Candlekeep. Miirym can't leave Candlekeep and is immune to any effect that would place her in a location outside it, including an extradimensional space. If she dies, Miirym regains her form and all her hit points after 1d10 days, reappearing in the location where she died or in the nearest unoccupied space.";;;;;
;;;;;;;
Incorporeal Movement. Miirym can move through other creatures and objects as if they were difficult terrain. She takes 5 (1d10) force damage if she ends her turn inside an object.;;;;;;;
;;;;;;;
Legendary Resistance (3/Day). If Miirym fails a saving throw, she can choose to succeed instead.;;;;;;;
;;;;;;;
Regeneration. Miirym regains 40 hit points at the start of her turn. If Miirym takes damage from a magic weapon or a spell, this trait doesn't function at the start of Miirym's next turn. Miirym dies only if she starts her turn with 0 hit points and doesn't regenerate.;;;;;;;
;;;;;;;
"X-Ray Vision. Miirym can see through solid matter out to a range of 60 feet. To her, opaque creatures, objects, and obstacles within that distance appear transparent and don't prevent light from passing through them. This vision can penetrate 5 feet of stone, 3 inches of common metal, and up to 10 feet of wood or dirt. Thicker substances block this vision, as does a thin sheet of lead."",""Bite. Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 34 (9d6 + 3) force damage.";;;;;;;
;;;;;;;
Breath Weapon (Recharge 5–6). Miirym uses one of the following breath weapons:;;;;;;;
;;;;;;;
Cold Breath. Miirym exhales an icy blast in a 90-foot cone. Each creature in that area must make a DC 21 Constitution saving throw, taking 67 (15d8) cold damage on a failed save, or half as much damage on a successful one.;;;;;;;
;;;;;;;
Necrotic Breath. Miirym exhales a bolt of necrotic energy in a 120-foot line that is 10 feet wide. Each creature in that line must make a DC 21 Dexterity saving throw, taking 82 (15d10) necrotic damage on a failed save, or half as much damage on a successful one.;;;;;;;
;;;;;;;
Paralyzing Breath. Miirym exhales paralyzing gas in a 90-foot cone. Each creature in that area must succeed on a DC 21 Constitution saving throw or be paralyzed for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.;;;;;;;
;;;;;;;
Frightful Presence. Each creature of Miirym's choice that is within 120 feet of her and aware of her must succeed on a DC 21 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to Miirym's Frightful Presence for the next 24 hours.;;;;;;;
;;;;;;;
Spellcasting. Miirym casts one of the following spells, using Charisma as the spellcasting ability (save DC 21) and requiring no material components:;;;;;;;
;;;;;;;
At will: dancing lights, mage hand;;;;;;;
;;;;;;;
3/day each: detect magic, detect thoughts, dispel magic, locate creature;;;;;;;
;;;;;;;
"1/day each: dispel evil and good, wall of force"","""","""",""Bite. Miirym makes a bite attack.";;;;;;;
;;;;;;;
"Teleport (Costs 2 Actions). Miirym magically teleports up to 120 feet to an unoccupied space she can see."","""","""","""","""",""""";;;;;;;
"Milivoj,""CoS"",""97"",""Medium"",""Humanoid (Human)"",""neutral"",""10"",""4 (1d8)"",""30 ft."",""15"",""10"",""10"",""10"",""10"",""10"","""","""","""","""","""","""",""passive Perception 10"",""Any one language (usually Common)"",""0 (XP 10";" PB +2)"","""",""Shovel. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) bludgeoning damage."","""","""","""","""","""","""","""",""""";;;;;;
"Mimic,""MM'14"",""220"",""Medium"",""Monstrosity (Shapechanger)"",""neutral"",""12 (natural armor)"",""58 (9d8 + 18)"",""15 ft."",""17"",""12"",""15"",""5"",""13"",""8"","""",""Stealth +5"","""","""",""acid"",""prone"",""Darkvision 60 ft., passive Perception 11"",""—"",""2 (XP 450";" PB +2)"",""Shapechanger. The mimic can use its action to polymorph into an object or back into its true, amorphous form. Its statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.";;;;;;
;;;;;;;
Grappler. The mimic has advantage on attack rolls against any creature grappled by it.;;;;;;;
;;;;;;;
Adhesive (Object Form Only). The mimic adheres to anything that touches it. A Huge or smaller creature adhered to the mimic is also grappled by it (escape DC 13). Ability checks made to escape this grapple have disadvantage.;;;;;;;
;;;;;;;
"False Appearance (Object Form Only). While the mimic remains motionless, it is indistinguishable from an ordinary object."",""Pseudopod. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) bludgeoning damage. If the mimic is in object form, the target is subjected to its Adhesive trait.";;;;;;;
;;;;;;;
"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) piercing damage plus 4 (1d8) acid damage."","""","""","""","""","""","""",""Underdark, Urban"",""""";;;;;;;
"Mimic,""MM'25"",""212"",""Medium"",""Monstrosity"",""neutral"",""12"",""58 (9d8 + 18)"",""20 ft."",""17"",""12"",""15"",""5"",""13"",""8"","""",""Stealth +5"","""","""",""acid"",""prone"",""Darkvision 60 ft., passive Perception 11"",""—"",""2 (XP 450";" PB +2)"",""Adhesive (Object Form Only). The mimic adheres to anything that touches it. A Huge or smaller creature adhered to the mimic has the Grappled condition (escape DC 13). Ability checks made to escape this grapple have Disadvantage."",""Bite. Melee Attack Roll: +5 (with Advantage if the target is Grappled by the mimic), reach 5 ft. Hit: 7 (1d8 + 3) Piercing damage—or 12 (2d8 + 3) Piercing damage if the target is Grappled by the mimic—plus 4 (1d8) Acid damage.";;;;;;
;;;;;;;
"Pseudopod. Melee Attack Roll: +5, reach 5 ft. Hit: 7 (1d8 + 3) Bludgeoning damage plus 4 (1d8) Acid damage. If the target is a Large or smaller creature, it has the Grappled condition (escape DC 13). Ability checks made to escape this grapple have Disadvantage."",""Shape-Shift. The mimic shape-shifts to resemble a Medium or Small object while retaining its game statistics, or it returns to its true blob form. Any equipment it is wearing or carrying isn't transformed."","""","""","""","""","""",""Underdark, Urban"",""Any""";;;;;;;
"Mimic Chair,""CM"",""22"",""Medium"",""Monstrosity (Shapechanger)"",""neutral"",""12 (natural armor)"",""30 (9d8 + 18)"",""15 ft."",""17"",""12"",""15"",""5"",""13"",""8"","""",""Stealth +5"","""","""",""acid"",""prone"",""Darkvision 60 ft., passive Perception 11"",""—"",""2 (XP 450";" PB +2)"",""Shapechanger. The mimic can use its action to polymorph into an object or back into its true, amorphous form. Its statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.";;;;;;
;;;;;;;
Grappler. The mimic has advantage on attack rolls against any creature grappled by it.;;;;;;;
;;;;;;;
Adhesive (Object Form Only). The mimic adheres to anything that touches it. A Huge or smaller creature adhered to the mimic is also grappled by it (escape DC 10). Ability checks made to escape this grapple have disadvantage.;;;;;;;
;;;;;;;
"False Appearance (Object Form Only). While the mimic remains motionless, it is indistinguishable from an ordinary object."",""Pseudopod. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) bludgeoning damage. If the mimic is in object form, the target is subjected to its Adhesive trait.";;;;;;;
;;;;;;;
"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) piercing damage plus 4 (1d8) acid damage."","""","""","""","""","""","""","""",""""";;;;;;;
"Mind Drinker Vampire,""GGR"",""224"",""Medium"",""Undead"",""neutral evil"",""14"",""55 (10d8 + 10)"",""30 ft., Fly 30 ft. (hover)"",""16"",""18"",""12"",""19"",""13"",""14"",""Dex +6, Int +6, Wis +3"",""Deception +4, Insight +3, Perception +3, Stealth +6"","""",""necrotic"","""","""",""Darkvision 60 ft., passive Perception 13"",""The languages it knew in life"",""4 (XP 1.100";" PB +2)"",""Innate Spellcasting (Psionics). The vampire's innate spellcasting ability is Intelligence (spell save DC 14). It can innately cast the following spells, requiring no components:";;;;;;
;;;;;;;
At will: message;;;;;;;
;;;;;;;
3/day each: charm person, hold person, mirror image, sleep;;;;;;;
;;;;;;;
1/day each: gaseous form, major image;;;;;;;
;;;;;;;
Shadow Stealth. While in dim light or darkness, the vampire can take the Hide action as a bonus action.;;;;;;;
;;;;;;;
"Sunlight Sensitivity. While in sunlight, the vampire has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight."",""Multiattack. The vampire makes two attacks, only one of which can be a bite attack.";;;;;;;
;;;;;;;
Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one willing creature, or a creature that is grappled by the vampire, incapacitated, or restrained. Hit: 7 (1d6 + 4) piercing damage plus 7 (2d6) necrotic damage. The target's hit point maximum is reduced by an amount equal to the necrotic damage taken, and the vampire regains hit points equal to that amount. The reduction lasts until the target finishes a long rest. The target dies if its hit point maximum is reduced to 0.;;;;;;;
;;;;;;;
Unarmed Strike. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) bludgeoning damage. The vampire can also grapple the target (escape DC 13) if it is a creature and the vampire has a hand free.;;;;;;;
;;;;;;;
"Mind Siphon (Recharge 5–6). The vampire targets a creature it can see within 30 feet of it. The target must make a DC 14 Intelligence saving throw, with disadvantage if the vampire has previously consumed the target's blood. On a failed save, the target takes 28 (8d6) psychic damage, and the vampire discerns the target's surface emotions and thoughts. On a successful save, the target takes half as much damage, and the vampire discerns the target's general emotional state but not its thoughts."","""","""","""","""","""","""","""",""""";;;;;;;
"Mind Flayer,""MM'14"",""222"",""Medium"",""Aberration"",""lawful evil"",""15 (breastplate)"",""71 (13d8 + 13)"",""30 ft."",""11"",""12"",""12"",""19"",""17"",""17"",""Int +7, Wis +6, Cha +6"",""Arcana +7, Deception +6, Insight +6, Perception +6, Persuasion +6, Stealth +4"","""","""","""","""",""Darkvision 120 ft., passive Perception 16"",""Deep Speech, Undercommon, telepathy 120 ft."",""7 (XP 2.900";" PB +3)"",""Innate Spellcasting (Psionics). The mind flayer's innate spellcasting ability is Intelligence (spell save DC 15). It can innately cast the following spells, requiring no components:";;;;;;
;;;;;;;
At will: detect thoughts, levitate;;;;;;;
;;;;;;;
1/day each: dominate monster, plane shift (self only);;;;;;;
;;;;;;;
"Magic Resistance. The mind flayer has advantage on saving throws against spells and other magical effects."",""Tentacles. Melee Weapon Attack: +7 to hit, reach 5 ft., one creature. Hit: 15 (2d10 + 4) psychic damage. If the target is Medium or smaller, it is grappled (escape DC 15) and must succeed on a DC 15 Intelligence saving throw or be stunned until this grapple ends.";;;;;;;
;;;;;;;
Extract Brain. Melee Weapon Attack: +7 to hit, reach 5 ft., one incapacitated humanoid grappled by the mind flayer. Hit: The target takes 55 (10d10) piercing damage. If this damage reduces the target to 0 hit points, the mind flayer kills the target by extracting and devouring its brain.;;;;;;;
;;;;;;;
"Mind Blast (Recharge 5–6). The mind flayer magically emits psychic energy in a 60-foot cone. Each creature in that area must succeed on a DC 15 Intelligence saving throw or take 22 (4d8 + 4) psychic damage and be stunned for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."","""","""","""","""","""","""",""Underdark"",""""";;;;;;;
"Mind Flayer,""MM'25"",""214"",""Medium"",""Aberration"",""lawful evil"",""15"",""99 (18d8 + 18)"",""30 ft., Fly 15 ft. (hover)"",""11"",""12"",""12"",""19"",""17"",""17"",""Dex +4, Int +7, Wis +6, Cha +6"",""Arcana +7, Insight +6, Perception +6, Stealth +4"","""",""psychic"","""","""",""Darkvision 120 ft., passive Perception 16"",""Deep Speech, Undercommon";" telepathy 120 ft."",""7 (XP 2.900";" PB +3)"",""Magic Resistance. The mind flayer has Advantage on saving throws against spells and other magical effects."",""Spellcasting. The mind flayer casts one of the following spells, requiring no spell components and using Intelligence as the spellcasting ability (spell save DC 15):";;;;;
;;;;;;;
At will: Detect Thoughts;;;;;;;
;;;;;;;
1/day each: Dominate Monster, Plane Shift (self only);;;;;;;
;;;;;;;
Tentacles. Melee Attack Roll: +7, reach 5 ft. Hit: 22 (4d8 + 4) Psychic damage. If the target is a Medium or smaller creature, it has the Grappled condition (escape DC 14) from all the mind flayer's tentacles, and the target has the Stunned condition until the grapple ends.;;;;;;;
;;;;;;;
Extract Brain. Constitution Saving Throw: DC 15, one creature that is Grappled by the mind flayer's Tentacles. Failure: 55 (10d10) Piercing damage. Success: Half damage. Failure or Success: If this damage reduces the target to 0 Hit Points, the mind flayer kills it and devours its brain.;;;;;;;
;;;;;;;
"Mind Blast (Recharge 5–6). Intelligence Saving Throw: DC 15, each creature in a 60-foot Cone. Failure: 31 (6d8 + 4) Psychic damage, and the target has the Stunned condition until the end of the mind flayer's next turn. Success: Half damage only."","""","""","""","""","""","""",""Underdark"",""Arcana""";;;;;;;
"Mind Flayer Arcanist,""MM'14"",""222"",""Medium"",""Aberration"",""lawful evil"",""15 (breastplate)"",""71 (13d8 + 13)"",""30 ft."",""11"",""12"",""12"",""19"",""17"",""17"",""Int +7, Wis +6, Cha +6"",""Arcana +7, Deception +6, Insight +6, Perception +6, Persuasion +6, Stealth +4"","""","""","""","""",""Darkvision 120 ft., passive Perception 16"",""Deep Speech, Undercommon, telepathy 120 ft."",""8 (XP 3.900";" PB +3)"",""Innate Spellcasting (Psionics). The mind flayer's innate spellcasting ability is Intelligence (spell save DC 15). It can innately cast the following spells, requiring no components:";;;;;;
;;;;;;;
At will: detect thoughts, levitate;;;;;;;
;;;;;;;
1/day each: dominate monster, plane shift (self only);;;;;;;
;;;;;;;
Magic Resistance. The mind flayer has advantage on saving throws against spells and other magical effects.;;;;;;;
;;;;;;;
Spellcasting. The mind flayer is a 10th-level spellcaster. Its spellcasting ability is Intelligence (save DC 15, +7 to hit with spell attacks). The mind flayer has the following wizard spells prepared:;;;;;;;
;;;;;;;
Cantrips (at will): blade ward, dancing lights, mage hand, shocking grasp;;;;;;;
;;;;;;;
1st level (4 slots): detect magic, disguise self, shield, sleep;;;;;;;
;;;;;;;
2nd level (3 slots): blur, invisibility, ray of enfeeblement;;;;;;;
;;;;;;;
3rd level (3 slots): clairvoyance, lightning bolt, sending;;;;;;;
;;;;;;;
4th level (3 slots): confusion, hallucinatory terrain;;;;;;;
;;;;;;;
"5th level (2 slots): telekinesis, wall of force"",""Tentacles. Melee Weapon Attack: +7 to hit, reach 5 ft., one creature. Hit: 15 (2d10 + 4) psychic damage. If the target is Medium or smaller, it is grappled (escape DC 15) and must succeed on a DC 15 Intelligence saving throw or be stunned until this grapple ends.";;;;;;;
;;;;;;;
Extract Brain. Melee Weapon Attack: +7 to hit, reach 5 ft., one incapacitated humanoid grappled by the mind flayer. Hit: The target takes 55 (10d10) piercing damage. If this damage reduces the target to 0 hit points, the mind flayer kills the target by extracting and devouring its brain.;;;;;;;
;;;;;;;
"Mind Blast (Recharge 5–6). The mind flayer magically emits psychic energy in a 60-foot cone. Each creature in that area must succeed on a DC 15 Intelligence saving throw or take 22 (4d8 + 4) psychic damage and be stunned for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."","""","""","""","""","""","""",""Underdark"",""""";;;;;;;
"Mind Flayer Arcanist,""MM'25"",""214"",""Medium"",""Aberration"",""lawful evil"",""16"",""143 (26d8 + 26)"",""30 ft., Fly 30 ft. (hover)"",""11"",""14"",""13"",""20"",""17"",""17"",""Dex +6, Int +9, Wis +7, Cha +7"",""Arcana +13, Insight +7, Perception +7, Stealth +6"","""","""",""psychic"",""charmed, frightened"",""Darkvision 120 ft., passive Perception 17"",""Deep Speech, Undercommon";" telepathy 120 ft."",""11 (XP 7.200";" PB +4)"",""Magic Resistance. The mind flayer has Advantage on saving throws against spells and other magical effects."",""Multiattack. The mind flayer makes three Arcane Tentacles attacks.";;;;;
;;;;;;;
Arcane Tentacles. Melee or Ranged Attack Roll: +9, reach 5 ft. or range 120 ft. Hit: 27 (4d10 + 5) Psychic damage, and the mind flayer can teleport the target up to 30 feet to an unoccupied space the mind flayer can see on a surface or liquid large enough to support the target. If this damage reduces the target to 0 Hit Points, the mind flayer kills it and magically devours its brain.;;;;;;;
;;;;;;;
Mind Burst (Recharge 5–6). Intelligence Saving Throw: DC 17, each creature in a 40-foot Emanation originating from the mind flayer. Failure: 41 (8d8 + 5) Psychic damage, and the target has the Stunned condition until the end of the mind flayer's next turn. Success: Half damage only.;;;;;;;
;;;;;;;
Spellcasting. The mind flayer casts one of the following spells, requiring no spell components and using Intelligence as the spellcasting ability (spell save DC 17):;;;;;;;
;;;;;;;
At will: Detect Magic, Detect Thoughts, Disguise Self, Mage Hand (the hand is Invisible);;;;;;;
;;;;;;;
"1/day each: Clairvoyance, Dimension Door, Fireball (level 5 version), Lightning Bolt (level 5 version), Plane Shift (self only), Sending"","""",""Shield (2/Day). The mind flayer casts Shield in response to that spell's trigger, using the same spellcasting ability as Spellcasting."","""","""","""","""",""Underdark"",""Arcana""";;;;;;;
"Mind Flayer Clairvoyant,""PaBTSO"",""209"",""Medium"",""Aberration"",""lawful evil"",""15 (breastplate)"",""156 (24d8 + 48)"",""30 ft., Fly 60 ft. (hover)"",""11"",""12"",""15"",""21"",""17"",""18"",""Int +9, Wis +7, Cha +8"",""Arcana +9, Insight +7, Perception +7, Stealth +5"","""",""psychic"","""",""blinded, charmed, frightened"",""Darkvision 120 ft., Truesight 15 ft., passive Perception 17"",""Deep Speech, telepathy 120 ft., Undercommon"",""11 (XP 7.200";" PB +4)"",""Legendary Resistance (3/Day). If the mind flayer fails a saving throw, it can choose to succeed instead.";;;;;;
;;;;;;;
"Magic Resistance. The mind flayer has advantage on saving throws against spells and other magical effects."",""Multiattack. The mind flayer makes two Tentacle attacks.";;;;;;;
;;;;;;;
Tentacle. Melee Weapon Attack: +9 to hit, reach 5 ft., one creature. Hit: 21 (3d10 + 5) psychic damage. If the target is Medium or smaller, it has the grappled condition (escape DC 17) and must succeed on a DC 17 Intelligence saving throw or have the incapacitated condition until the grapple ends.;;;;;;;
;;;;;;;
Extract Brain. Melee Weapon Attack: +9 to hit, reach 5 ft., one incapacitated Humanoid grappled by the mind flayer. Hit: 55 (10d10) piercing damage. If this damage reduces the target to 0 hit points, the mind flayer kills it by extracting and devouring its brain.;;;;;;;
;;;;;;;
Spellcasting (Psionics). The mind flayer casts one of the following spells, requiring no spell components and using Intelligence as the spellcasting ability (spell save DC 17):;;;;;;;
;;;;;;;
At will: detect magic, detect thoughts, mage hand (the hand is invisible);;;;;;;
;;;;;;;
3/day each: clairvoyance (as an action), dispel magic;;;;;;;
;;;;;;;
1/day: plane shift (self only);;;;;;;
;;;;;;;
"Unleash Void (Recharge 5–6). The mind flayer opens a rift into the Far Realm, centered on a point the mind flayer can see within 60 feet of itself, and a tentacle lashes across creatures near the rift. Each creature other than mind flayers within 30 feet of the rift must make a DC 17 Intelligence saving throw, after which the tentacle disappears and the rift closes. On a failed save, a creature takes 18 (4d8) cold damage from the rift plus 18 (4d8) psychic damage from the tentacle and has the stunned condition for 1 minute. On a successful save, a creature takes half as much damage only. A stunned creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."","""",""Warp Reality. When hit by an attack roll, the mind flayer gains a +4 bonus to its AC against that attack roll, potentially causing it to miss. Then the mind flayer, along with any equipment it is wearing or carrying, magically teleports up to 60 feet to an unoccupied space it can see."","""","""","""","""","""",""""";;;;;;;
"Mind Flayer Nothic,""PaBTSO"",""155"",""Medium"",""Aberration"",""neutral evil"",""15 (natural armor)"",""45 (6d8 + 18)"",""30 ft."",""14"",""16"",""16"",""13"",""10"",""8"","""",""Arcana +3, Insight +4, Perception +2, Stealth +5"","""","""","""","""",""Truesight 120 ft., passive Perception 12"",""Undercommon"",""2 (XP 450";" PB +2)"",""Keen Sight. The nothic has advantage on Wisdom (Perception) checks that rely on sight."",""Multiattack. The nothic makes two claw attacks.";;;;;;
;;;;;;;
Claw. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.;;;;;;;
;;;;;;;
Mind Blast (Recharge 5–6). The nothic magically emits psychic energy in a 30-foot cone. Each creature in that area must succeed on a DC 12 Intelligence saving throw or take 10 (2d8 + 1) psychic damage and have the stunned condition until the end of its next turn.;;;;;;;
;;;;;;;
"Weird Insight. The nothic targets one creature it can see within 30 feet of it. The target must contest its Charisma (Deception) check against the nothic's Wisdom (Insight) check. If the nothic wins, it magically learns one fact or secret about the target. The target automatically wins if it is immune to being charmed."","""","""","""","""","""","""","""",""""";;;;;;;
"Mind Flayer Prophet,""PaBTSO"",""210"",""Medium"",""Aberration"",""lawful evil"",""17 (natural armor)"",""97 (15d8 + 30)"",""30 ft."",""15"",""14"",""14"",""20"",""17"",""17"",""Int +8, Wis +6, Cha +6"",""Arcana +8, Insight +6, Perception +6, Stealth +5"","""","""","""","""",""Darkvision 120 ft., passive Perception 16"",""Deep Speech, telepathy 120 ft., Undercommon"",""8 (XP 3.900";" PB +3)"",""Awareness. The mind flayer has advantage on initiative rolls and can't be surprised as long as it doesn't have the incapacitated condition.";;;;;;
;;;;;;;
"Magic Resistance. The mind flayer has advantage on saving throws against spells and other magical effects."",""Tentacles. Melee Weapon Attack: +8 to hit, reach 5 ft., one creature. Hit: 16 (2d10 + 5) psychic damage. If the target is Medium or smaller, it has the grappled condition (escape DC 16) and must succeed on a DC 16 Intelligence saving throw or have the stunned condition until the grapple ends.";;;;;;;
;;;;;;;
Extract Brain. Melee Weapon Attack: +8 to hit, reach 5 ft., one Humanoid grappled by the mind flayer. Hit: 55 (10d10) piercing damage. If this damage reduces the target to 0 hit points, the mind flayer kills it by extracting and devouring its brain.;;;;;;;
;;;;;;;
Mind Whip (Recharge 5–6). The mind flayer lashes out with psychic energy, targeting up to two creatures it can see within 60 feet of itself. Each target must succeed on a DC 16 Intelligence saving throw or take 23 (4d8 + 5) psychic damage and have the stunned condition for 1 minute. A stunned target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.;;;;;;;
;;;;;;;
Spellcasting (Psionics). The mind flayer casts one of the following spells, requiring no spell components and using Intelligence as the spellcasting ability (spell save DC 16):;;;;;;;
;;;;;;;
At will: detect magic, detect thoughts, levitate;;;;;;;
;;;;;;;
"1/day each: dominate monster, plane shift (self only), true seeing"","""","""","""","""","""","""","""",""""";;;;;;;
"Mind Flayer Psion,""VGM"",""71"",""Medium"",""Aberration"",""lawful evil"",""15 (breastplate)"",""71 (13d8 + 13)"",""30 ft."",""11"",""12"",""12"",""19"",""17"",""17"",""Int +7, Wis +6, Cha +6"",""Arcana +7, Deception +6, Insight +6, Perception +6, Persuasion +6, Stealth +4"","""","""","""","""",""Darkvision 120 ft., passive Perception 16"",""Deep Speech, Undercommon, telepathy 120 ft."",""8 (XP 3.900";" PB +3)"",""Innate Spellcasting (Psionics). The mind flayer is a 10th-level spellcaster. Its innate spellcasting ability is Intelligence (spell save DC 15"; +7 to hit with spell attacks). It can innately cast the following spells, requiring no components:;;;;;
;;;;;;;
At will: guidance, mage hand, vicious mockery, true strike, detect thoughts, levitate;;;;;;;
;;;;;;;
1/day each: dominate monster, plane shift (self only);;;;;;;
;;;;;;;
1st level (4 slots): charm person, command, comprehend languages, sanctuary;;;;;;;
;;;;;;;
2nd level (3 slots): crown of madness, phantasmal force, see invisibility;;;;;;;
;;;;;;;
3rd level (3 slots): clairvoyance, fear, meld into stone;;;;;;;
;;;;;;;
4th level (3 slots): confusion, stone shape;;;;;;;
;;;;;;;
5th level (2 slots): scrying, telekinesis;;;;;;;
;;;;;;;
"Magic Resistance. The mind flayer has advantage on saving throws against spells and other magical effects."",""Tentacles. Melee Weapon Attack: +7 to hit, reach 5 ft., one creature. Hit: 15 (2d10 + 4) psychic damage. If the target is Medium or smaller, it is grappled (escape DC 15) and must succeed on a DC 15 Intelligence saving throw or be stunned until this grapple ends.";;;;;;;
;;;;;;;
Extract Brain. Melee Weapon Attack: +7 to hit, reach 5 ft., one incapacitated humanoid grappled by the mind flayer. Hit: The target takes 55 (10d10) piercing damage. If this damage reduces the target to 0 hit points, the mind flayer kills the target by extracting and devouring its brain.;;;;;;;
;;;;;;;
"Mind Blast (Recharge 5–6). The mind flayer magically emits psychic energy in a 60-foot cone. Each creature in that area must succeed on a DC 15 Intelligence saving throw or take 22 (4d8 + 4) psychic damage and be stunned for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."","""","""","""","""","""","""",""Underdark"",""""";;;;;;;
"Mind Mage,""GGR"",""233"",""Medium"",""Humanoid (Any Race)"",""neutral evil"",""12 (15 with mage armor)"",""49 (11d8)"",""30 ft."",""10"",""14"",""10"",""20"",""15"",""16"",""Int +8, Wis +5"",""Arcana +8, Deception +6, Insight +5, Persuasion +6"","""","""","""","""",""passive Perception 12"",""Common plus any four languages"",""5 (XP 1.800";" PB +3)"",""Special Equipment. The mage wears a spies' murmur (see chapter 5).";;;;;;
;;;;;;;
Innate Spellcasting (Psionics). The mage's spellcasting ability is Intelligence (spell save DC 16). It can innately cast the following spells, requiring no components:;;;;;;;
;;;;;;;
At will: encode thoughts (see chapter 2), friends;;;;;;;
;;;;;;;
3/day each: charm person, detect thoughts, mage armor, sleep, suggestion;;;;;;;
;;;;;;;
"1/day each: dominate person, mass suggestion, modify memory"",""Dagger. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage."","""","""","""","""","""","""","""",""""";;;;;;;
"Mind's Eye Matter Smith,""MPP"",""60"",""Small or Medium"",""Humanoid"",""any alignment"",""12 (15 with mage armor)"",""78 (12d8 + 24)"",""30 ft."",""10"",""14"",""14"",""14"",""14"",""16"",""Int +4, Cha +5"",""Investigation +4, Perception +6"","""","""","""","""",""passive Perception 16"",""Common plus two more languages"",""4 (XP 1.100";" PB +2)"","""",""Multiattack. The matter smith makes two Manifested Force attacks.";;;;;;
;;;;;;;
Manifested Force. Melee or Ranged Spell Attack: +5 to hit, reach 5 ft. or range 120 ft., one target. Hit: 10 (2d6 + 3) force damage.;;;;;;;
;;;;;;;
Spellcasting. The matter smith casts one of the following spells, using Charisma as the spellcasting ability:;;;;;;;
;;;;;;;
At will: mage armor, mage hand, prestidigitation;;;;;;;
;;;;;;;
"1/day each: create food and water, fabricate (as an action)"",""Planar Smithing. The matter smith magically manipulates the energy of the plane of existence it's on to produce one of the following effects (choose one or roll a d4):";;;;;;;
;;;;;;;
1-2: Chains. The matter smith creates spectral bindings around a creature it can see within 30 feet of itself. The target must succeed on a DC 13 Dexterity saving throw or have the restrained condition until the end of its next turn.;;;;;;;
;;;;;;;
"3-4: Magic Shield. The matter smith conjures a floating, spectral shield that grants the matter smith a +5 bonus to its AC until the shield disappears at the start of the matter smith's next turn. The first time a creature misses a melee attack roll against the matter smith while the shield is conjured, that creature takes 7 (2d6) force damage."","""","""","""","""","""","""",""""";;;;;;;
