Name,Source,Page,Rarity,Type,Attunement,Damage,Properties,Mastery,Weight,Value,Text
Guardian Emblem,TCE,128,poco comun,objeto maravilloso,requiere sintonia By a Cleric or Paladin,,,,,,"This emblem is the symbol of a deity or a spiritual tradition. As an action, you can attach the emblem to a suit of armadura or a escudo or remove it.

The emblem has 3 charges. When you or a creature you can see within 30 pies of you suffers a critical hit while you're wearing the armadura or wielding the escudo that bears the emblem, you can use your reaction to expend 1 charge to turn the critical hit into a normal hit instead.

The emblem regains all expended charges daily at dawn."
Guild Keyrune,GGR,177,variable,objeto maravilloso,requiere sintonia By a Member of the Relevant Guild,,,,,,"Associated with a particular guild, a guild keyrune is a ceremonial, stylized key, about 1 foot long, made from carved stone. Not a literal key, the item is a badge of authority that gives its bearer access to privileged places in its guild's headquarters and outposts. At the DM's discretion, a character might be given a keyrune upon attaining a renown score of 25 in their guild.

Multiple variations of this item exist, as listed below:

Azorius KeyruneBoros KeyruneDimir KeyruneGolgari KeyruneGruul KeyruneIzzet KeyruneOrzhov KeyruneRakdos KeyruneSelesnya KeyruneSimic Keyrune"
Guild Signet,GGR,178,poco comun,anillo,requiere sintonia,,,,,,"A guild signet is sometimes awarded to a guild member whose renown score in that guild is 5 or higher, as a reward for performing special services for the guild. Aside from its magical properties, the anillo is also an indicator of the guild's recognition and favor.

Multiple variations of this item exist, as listed below:

Azorius Guild SignetBoros Guild SignetDimir Guild SignetGolgari Guild SignetGruul Guild SignetIzzet Guild SignetOrzhov Guild SignetRakdos Guild SignetSelesnya Guild SignetSimic Guild Signet"
Gulthias baston,CoS,221,raro,"baston, arma, Simple arma, Melee arma",requiere sintonia,1d6 Bludgeoning,versatile (1d8),,4 lb.,,"Made from the branch of a Gulthias tree (see the blights entry of the Monster Manual), a Gulthias baston is a spongy, black length of wood. Its maligno makes beasts visibly uncomfortable while within 30 pies of it. The baston has 10 charges and regains 1d6 + 4 of its expended charges daily at dusk.

If the baston is broken or burned to ashes, its wood releases a terrible, inhuman scream that can be heard out to a Alcance of 300 pies. All blights that can hear the scream immediately wither and die.

Vampiric Strike. The baston can be wielded as a magic quarterstaff. On a hit, it deals dano as a normal quarterstaff, and you can expend 1 charge to regain a number of puntos de golpe equal to the dano dealt by the arma. Each time a charge is spent, red blood oozes from the baston's pores, and you debe superar a DC 12 Wisdom tirada de salvacion o quedar afflicted with short term madness (see ""Madness"" in chapter 8 of the Dungeon Master's Guide).

Blight Bane. While you are attuned to the baston, blights and other maligno plant creatures don't regard you as hostile unless you harm them.

Versatile. This arma can be used with one or two hands. A dano value in parentheses appears with the property—the dano when the arma is used with two hands to make a melee attack."
Gunpowder (keg),DMG'24,73,ninguno,Explosive,,,,,20 lb.,250 GP,"Setting fire to a keg full of Gunpowder causes it to explode. When a keg explodes, cada criatura in a 10-foot-radius Sphere centered on the keg makes a DC 12 Dexterity tirada de salvacion, taking 24 (7d6) Fire dano on a failed save or half as much dano on a successful one."
Gunpowder (powder horn),DMG'24,73,ninguno,Explosive,,,,,2 lb.,35 GP,"Setting fire to a powder horn full of Gunpowder causes it to explode. When a powder horn explodes, cada criatura in a 10-foot-radius Sphere centered on the powder horn makes a DC 12 Dexterity tirada de salvacion, taking 10 (3d6) Fire dano on a failed save or half as much dano on a successful one."
Gurt's Greataxe,SKT,234,legendario,"arma (Greataxe), Martial arma, Melee arma",requiere sintonia,3d12 Slashing,"heavy, two‑handed",,325 lb.,,"In the Year of the Icy Axe (123 DR), the frost Gigante Lord Gurt fell to Uthgar Gardolfsson—leader of the folk who would become the Uthgardt barbarians—in a battle that marked the ascendance of humankind over the giants in the Dessarin Valley. Gurt's greataxe was buried in Morgur's Mound until it was unearthed and brought back to Waterdeep. After laying in the city's vaults for decades, the axe was given to Harshnag, a frost Gigante adventurer, in recognition of his service to Waterdeep. Uthgardt barbarians recognize the arma on sight and attack any Gigante that wields it.

You gain a +1 bonus to attack and dano rolls made with this magic arma. It is sized for a Gigante, weighs 325 pounds, and deals 3d12 slashing dano on a hit, plus an extra 2d12 slashing dano if el objetivo is human.

The axe sheds light as a torch when the temperature around it drops below 0 degrees Fahrenheit. The light can't be shut off in these conditions.

As an action, you can cast a version of the heat metal spell (save DC 13) that deals cold dano instead of fire dano. Once this power is used, it can't be used again until the next dawn.

Heavy. Creatures that are Pequeno or Diminuto have disadvantage on attack rolls with heavy weapons. A heavy arma's size and bulk make it too Grande for a Pequeno or Diminuto creature to use effectively.

Two-Handed. This arma requires two hands to use. This property is relevant only when you attack with the arma, not when you simply hold it."
Hag Eye,DMG'24,265,poco comun,objeto maravilloso,,,,,,,"A Hag Eye has 3 charges. While wearing or holding this item, you can expend 1 charge to cast Vision en la oscuridad (targeting yourself only) or See Invisibility. The Hag Eye regains all expended charges daily at dawn.

Coven Sensor. The Hag Eye is usually entrusted to a hag's minion for safekeeping and transport. As a Magic action, a hag who belongs to the coven that created the Hag Eye can see what the Hag Eye sees if the hag and the Hag Eye are on the same plane of existence. This effect lasts as long as the hag maintains Concentration. Multiple hags in the coven can see through the Hag Eye simultaneously.

Creating a Hag Eye. Only a hag coven can craft this item, which is made from a real eye coated in varnish and often fitted to a pendant or another wearable item. A hag coven can have only one Hag Eye at a time, and creating a new one requires all three members of the coven to perform a special rite. This rite recibe 1 hour, and the hags can't perform it if one or more of them has the incapacitado condition. If the hags take any other actions during this rite, the rite fails and ends."
Halberd,PHB'24,215,ninguno,"arma, Martial arma, Melee arma",,1d10 Slashing,"Heavy, Reach, Two‑Handed",Mastery: Cleave,6 lb.,20 GP,"Heavy. You have Disadvantage on attack rolls with a Heavy arma if it's a Melee arma and your Strength score isn't at least 13 or if it's a Ranged arma and your Dexterity score isn't at least 13.

Reach. A Reach arma adds 5 pies to your reach when you attack with it, as well as when determining your reach for Opportunity Attacks with it.

Two-Handed. A Two-Handed arma requires two hands when you attack with it.

Mastery: Cleave. If you hit a creature with a melee attack roll using this arma, you can make a melee attack roll with the arma against a second creature within 5 pies of the first that is also within your reach. On a hit, the second creature recibe the arma's dano, but don't add your ability modifier to that dano unless that modifier is negative. You can make this extra attack only once per turn."
Half Plate armadura,PHB'24,219,ninguno,Mediano armadura,,AC 15 + Dex (max 2),,,40 lb.,750 GP,The wearer has Disadvantage on Dexterity (Stealth) checks.
Hammer,PHB'14,150,ninguno,Adventuring Gear,,,,,3 lb.,1 GP,
Hammer of Runic Focus,BMT,67,muy raro,"arma (Warhammer), Martial arma, Melee arma",requiere sintonia,1d8 Bludgeoning,versatile (1d10),,2 lb.,,"This magic hammer has 3 charges. As a bonus action, you can expend 1 charge and slam this hammer on the ground, creating a 15-foot-radius circle of glowing runes centered on the point of impact. While you're inside that area, your hammer glows with matching runes, and you gain a +3 bonus to attack and dano rolls made with this hammer. The rune circle disappears after 1 minute, when you create another rune circle, or when you dismiss the rune circle as a bonus action. This hammer regains 1d3 expended charges daily at dawn.

Versatile. This arma can be used with one or two hands. A dano value in parentheses appears with the property—the dano when the arma is used with two hands to make a melee attack."
Hammer of Thunderbolts,DMG'24,265,legendario,Generic Variant,requiere sintonia,,,,,,"You gain a +1 bonus to attack rolls and dano rolls made with this magic arma.

The arma has 5 charges. You can expend 1 charge and make a ranged attack with the arma, hurling it as if it had Thrown with a normal Alcance of 20 pies and a long Alcance of 60 pies.

If the attack hits, the arma unleashes a thunderclap audible out to 300 pies. el objetivo and every creature within 30 pies of it other than you debe superar a DC 17 Constitution tirada de salvacion or have the aturdido condition hasta el final de your next turn. Immediately after hitting or missing, the arma flies back to your hand. The arma regains 1d4 + 1 expended charges daily at dawn.

Gigante's Bane. While you are attuned to the arma and wearing either a Belt of Gigante Strength or Gauntlets of Ogre Power to which you are also attuned, you gain the following benefits:

Giants' Bane. When you roll a 20 on the d20 for an attack roll made with this arma against a Gigante, the creature debe superar a DC 17 Constitution tirada de salvacion or die.

Might of Giants. The Strength score bestowed by your Belt of Gigante Strength or Gauntlets of Ogre Power increases by 4, to a maximum of 30.

Base items. This item variant can be applied to the following base items:

Maul (Maul of Thunderbolts)Warhammer (Warhammer of Thunderbolts)"
Hammerhead Ship,AAG,32,ninguno,Vehicle (Space),,"Speed: 4 mphCarrying Capacity: 30 tons cargoCrew 15, AC 15, HP 400, dano Threshold 15",,,,40.000 GP,"Hammerhead ships are popular craft, especially among pirates and merchants carrying heavy cargo. They can float on water and sail across it, but they aren't built to land on the ground (their keels would cause them to tip to one side). Standard weapons on a hammerhead ship include fore and aft mangonels, a ballista, and a reinforced bow for ramming."
Hammock of Worlds,JttRC,214,legendario,objeto maravilloso,,,,,,,"The Hammock of Worlds is a colorful hammock woven with traditional Ataguan designs. It can be used only by a member of the order known as the Green Doctors.

You can use an action to unfold and place the Hammock of Worlds on a solid surface, whereupon it creates a two-way portal to the Ghost Orchid Tepui in the Feywild or to the Drought Elder in the Far Realm (the user's choice). You can use an action to close an open portal by taking hold of the edges of the cloth and folding it up. Once Hammock of Worlds has opened a portal, it can't do so again for 1d8 hours."
Hand Crossbow,PHB'24,215,ninguno,"arma, Martial arma, Ranged arma",,1d6 Piercing,"Ammunition (Alcance 30/120 pies; Bolt), Light, Loading",Mastery: Vex,3 lb.,75 GP,"Alcance. A Alcance arma has a Alcance in parentheses after the Ammunition or Thrown property. The Alcance lists two numbers. The first is the arma's normal Alcance in pies, and the second is the arma's long Alcance. When attacking a target beyond normal Alcance, you have Disadvantage on the attack roll. You can't attack a target beyond the long Alcance.

Ammunition. You can use a arma that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the arma's Alcance. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed arma). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost.

Light. When you take the Attack action on your turn and attack with a Light arma, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light arma, and you don't add your ability modifier to the extra attack's dano unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the dano roll of the Bonus Action unless that modifier is negative.

Loading. You can fire only one piece of ammunition from a Loading arma when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make.

Mastery: Vex. If you hit a creature with this arma and deal dano to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
Hand Drum,SCAG,124,ninguno,Instrument,,,,,,,"A double-headed skin drum fitted with handles along its side.

If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.

See the Tool Proficiencies entry for more information.

Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument.

History. Your expertise aids you in recalling lore related to your instrument.

Performance. Your ability to put on a bueno show is improved when you incorporate an instrument into your act.

Compose a Tune. As part of a descanso largo, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.

Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
Hand of Vecna,DMG'24,259,artefacto,objeto maravilloso,requiere sintonia,,,,,,"Vecna was a mighty wizard who, through magic and conquest, forged a terrible empire. For all his power, however, Vecna feared death and took steps to prevent his demise by becoming a lich.

A treacherous lieutenant named Kas brought Vecna's rule to an end in a terrible battle. Of Vecna, all that remained were one hand and one eye, grisly Artifacts that still seek to work Vecna's will in the world.

The Eye of Vecna and the Hand of Vecna are separate Artifacts that might be found together or separately. The eye looks like a bloodshot organ torn free from the socket. The hand is a shriveled left extremity.

Random Properties of the Eye and Hand. The Hand of Vecna has the following random properties:

1 minor beneficial property1 major beneficial property1 minor detrimental property Attuning to the Hand. To attune to the hand, you must press it against the stump where your left hand was. The hand grafts itself to your arm and becomes a functioning appendage. If the hand is ever removed, you die.

Properties of the Hand. When you are attuned to the hand, your alignment is Neutral maligno, and you gain the following benefits:

Great Strength. Your Strength becomes 20 unless it is already 20 or higher.

Icy Touch. Any melee spell attack you make with the hand and any melee attack made with a arma held by it deals an extra 2d8 Cold dano on a hit.

Spellcasting. The hand has 8 charges and regains 1d4 + 4 expended charges daily at dawn. You can cast a spell on the Hand of Vecna Spells table from the hand (save DC 18). The table indicates how many charges you must expend to cast the spell. Each time you cast a spell from it, the hand casts Suggestion on you (save DC 18; no Concentration required), demanding that you commit an maligno act. The hand might have a specific act in mind or leave it up to you.Hand of Vecna SpellsSpellCharge CostFinger of Death5Sleep1Slow2Teleport3

Destroying the Eye and Hand. If the Eye of Vecna and the Hand of Vecna are both attached to the same creature and that creature is slain by the Sword of Kas, both the eye and the hand burst into flame, turn to ash, and are destroyed. Any other attempt to destroy the eye or hand seems to work, but the Artifact reappears in one of Vecna's many hidden vaults, where it waits to be rediscovered."
Handaxe,PHB'24,215,ninguno,"arma, Simple arma, Melee arma",,1d6 Slashing,"Light, Thrown (20/60 pies)",Mastery: Vex,2 lb.,5 GP,"Light. When you take the Attack action on your turn and attack with a Light arma, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light arma, and you don't add your ability modifier to the extra attack's dano unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the dano roll of the Bonus Action unless that modifier is negative.

Thrown. If a arma has the Thrown property, you can throw the arma to make a ranged attack, and you can draw that arma as part of the attack. If the arma is a Melee arma, use the same ability modifier for the attack and dano rolls that you use for a melee attack with that arma.

Mastery: Vex. If you hit a creature with this arma and deal dano to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
Harkon's Bite,VRGR,137,poco comun,objeto maravilloso,requiere sintonia,,,,,,"A dire wolf tooth dangles from this simple cord necklace. While you wear it, the necklace grants you a +1 bonus to ability checks and Tiradas de salvacion.

Curse. Attuning to Harkon's Bite curses you until either Harkon Lukas removes the necklace from you or you are targeted by a remove curse spell or similar magic. As long as you remain cursed, you cannot remove the necklace.

Upon donning or removing the necklace, whether you are attuned to it or not, you are afflicted with werewolf lycanthropy as detailed in the Monster Manual. The curse lasts until the dawn after the next full moon. If you are still wearing the necklace at this time, you are afflicted with the lycanthropy again."
Harp of Gilded Plenty,BGG,112,legendario,"objeto maravilloso, Instrument",requiere sintonia,,,,,,"This golden harp is sculpted in the image of the god Iallanis, depicted as a young cloud Gigante woman. When a creature comes within 5 pies of the harp, the instrument animates and is capable of speaking, singing, and playing by itself.

Whenever you attempt to attune to the harp, you must first make either a DC 15 Charisma (Performance) check or a DC 20 Charisma (Persuasion) check to convince the harp that you are worthy, attuning to the harp on a success. If you fail, you can't attempt to attune to the harp again until the next dawn. Once you have successfully attuned to the harp, the harp resizes to suit you.

Stalwart Song. Whenever you make a Charisma check while attuned to the harp, you can treat a roll of 9 or lower on the die as a 10.

Feast of Plenty. If you spend 10 minutes playing the harp, you can cast the heroes' feast spell from it. Once this property is used, it can't be used again until 1d10 + 10 days have passed.

Soothing Melody. As an action, you can use the harp to cast the calm emotions spell (save DC 19). When the spell is cast using the harp, its Duracion increases to 1 hour, provided you maintain concentration on the spell. This property can be used five times, and it regains all uses at dawn.

Sentience. The harp is a sentient, caotico bueno object with an Intelligence of 13, a Wisdom of 15, and a Charisma of 20. It has hearing and Vision en la oscuridad to a Alcance of 120 pies.

The harp can speak, read, and understand Comun and Gigante. It can also communicate telepathically with the creature attuned to it.

The harp has a dramatic and pompous personality, taking extreme pride in the quality of music produced from its strings. If the harp is shorter than 6 pies tall, it bemoans its height.

If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.

See the Tool Proficiencies entry for more information.

Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument.

History. Your expertise aids you in recalling lore related to your instrument.

Performance. Your ability to put on a bueno show is improved when you incorporate an instrument into your act.

Compose a Tune. As part of a descanso largo, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.

Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
Harper Pin,FRAiF,244,poco comun,objeto maravilloso,requiere sintonia,,,,,,"When you attune to this pin, choose a Harper persona (see the Forgotten Realms: Heroes of Faerûn for examples), including an alignment and a creature type. While wearing this pin, you register as that persona when targeted by magic to determine your creature type, alignment, or location.

The type of pin determines its rarity and effects.

Silver Harper Pin. When you attune to this pin, you can devise a general line of thought of 25 words or fewer. While you wear this pin, a creature that reads your thoughts detects your preprogrammed line of thought instead. A creature that recibe the Study action while reading your thoughts makes a DC 13 Intelligence (Investigation) check. On a successful check, it becomes aware that the detected thoughts are preprogrammed.

Golden Harper Pin. While wearing this pin, you can cast the Nondetection spell on yourself. The Duracion of this spell is permanent until you disable the effect (No requiere accion), you remove the pin, or you are no longer attuned to the pin."
Harper Trinket,FRHoF,160,ninguno,Adventuring Gear,,,,,,,Harper Trinkets1d6Trinket1A broken harmonica2A powder compact with a hidden compartment3A 2-foot-long peacock feather4A trick coin that's heads on both sides5A pair of red-tinted spectacles6A pergamino of sheet music for an unknown instrument
Hat of Disguise,DMG'24,266,poco comun,objeto maravilloso,requiere sintonia,,,,,,"While wearing this hat, you can cast the Disguise Self spell. The spell ends if the hat is removed."
Hat of Many Spells,DMG'24,266,muy raro,"objeto maravilloso, Spellcasting Focus",requiere sintonia By a Wizard,,,,,,"This pointed hat has the following properties.

Spellcasting Focus. While holding the hat, you can use it as a Spellcasting Focus for your Wizard spells. Any spell you cast using the hat gains a special Somatic component: you must reach into the hat and ""pull"" the spell out of it.

Unknown Spell. While holding the hat, you can try to cast a level 1+ spell you don't know. The spell must be on the Wizard spell list, it must be of a level you can cast, and it can't have Material Componentes costing more than 1,000 GP. Once you decide on the spell, you must expend a spell slot of the spell's level. Then, to determine whether you cast the spell, make an Intelligence (Arcana) check (DC 10 plus the spell's level). On a successful check, you cast the spell using its normal casting time, and you can't use this property again until you finish a descanso corto o largo. On a failed check, you fail to cast the spell and a random effect occurs instead, determined by rolling on the following table.

Any spell you cast from the hat uses your CD de salvacion de conjuros and spell attack bonus.

1d100Effect01-50You cast a random spell determined by rolling 1d10: on a 1, Enlarge/Reduce (enlarge effect); on a 2, Enlarge/Reduce (reduce effect); on a 3, Faerie Fire; on a 4, Fireball; on a 5, Gust of Wind; on a 6, Invisibility (cast on yourself); on a 7, Lightning Bolt; on an 8, Phantasmal Force; on a 9, Polymorph; on a 10, Stinking Cloud.51-55You have the aturdido condition hasta el final de your next turn, believing something awesome just happened.56-60A harmless swarm of butterflies fills a 10-foot Cube within 30 pies of yourself. The swarm disperses after 1 minute.61-65You pull a nonmagical object out of the hat. Roll 1d4 to determine the object: on a 1, a vial of Acid; on a 2, a flask of Alchemist's Fire; on a 3, a Crowbar; on a 4, a lit Torch.66-70You suffer a bout of ""magic sickness"" and have the envenenado condition for 1 hour.71-75You have the petrificado condition hasta el final de your next turn.76-80You pull a nonmagical object out of the hat. Roll 1d4 to determine the object: on a 1, a Dagger; on a 2, a Rope with a Grappling Hook tied to one end; on a 3, a bag of Caltrops; on a 4, a gem worth 50 GP.81-85A creature appears in an unoccupied space as close to you as possible. The creature isn't under your control and acts as it normally would, and it disappears after 1 hour or when it drops to 0 puntos de golpe. Roll 1d4 to determine the creature: on a 1, a Camel; on a 2, a Constrictor Snake; on a 3, an Elephant; on a 4, a Mule.86-90A Hostile Swarm of Bats flies out of the hat, occupies your space, and attacks you.91-95A vertical, 10-foot-diameter, two-way portal to another plane of existence opens in an unoccupied space within 30 pies of you and remains open hasta el final de your next turn. The DM determines where it leads.96-00You pull a magic item out of the hat. Roll 1d6 to determine the item's rarity: on a 1-3, Comun; on a 4-5, Uncommon; on a 6, Rare. The DM chooses the item, which disappears after 1 hour if it's not consumed or destroyed before then."
Hat of Vermin,DMG'24,267,comun,objeto maravilloso,,,,,,,"This hat has 3 charges. While holding the hat, you can take a Magic action to expend 1 charge and summon your choice of a Bat, a Frog, or a Rat. The summoned creature magically appears in the hat and tries to get away from you as quickly as possible. The creature is Indifferent toward you and other creatures, and it isn't under your control. It behaves as an ordinary creature of its kind and disappears after 1 hour or when it drops to 0 puntos de golpe. The hat regains all expended charges daily at dawn."
Hat of Vortexes,NF,undefined,poco comun,objeto maravilloso,requiere sintonia,,,,,,"This hat has 3 charges and regains all expended charges daily at dawn. You can take a Magic action and expend 1 charge while holding the hat to release a magical vortex from it. The vortex fills a 10-foot Cube originating from you and lasts for 1 hour. While the vortex is present, its area is Difficult Terrain.

You decide a vortex's visual details when you create it. For instance, the vortex might be multicolored or glittery."
Hat of Wizardry,DMG'24,267,comun,"objeto maravilloso, Spellcasting Focus",requiere sintonia By a Wizard,,,,,,"This cone-shaped hat is adorned with moons and stars. While you are wearing it, you gain the following benefits.

Spellcasting Focus. You can use the hat as a Spellcasting Focus for your Wizard spells.

Unknown Spell. As a Magic action, you can try to cast a cantrip that you don't know. The cantrip must be on the Wizard spell list and have a casting time of an action, and you make a DC 10 Intelligence (Arcana) check. On a successful check, you cast the spell. On a failed check, the spell fails, and the action used to cast the spell is wasted. In either case, you can't use this property again until you finish a descanso largo."
Hazirawn,HotDQ,94,legendario,"arma (Greatsword), Martial arma, Melee arma",requiere sintonia,2d6 Slashing,"heavy, two‑handed",,6 lb.,,"A sentient (neutral maligno) greatsword, Hazirawn is capable of speech in Comun and Netherese. Even if you aren't attuned to the sword, you gain a +1 bonus to attack and dano rolls made with this arma. If you are not attuned to Hazirawn, you deal an extra 1d6 necrotic dano when you hit with the arma.

Increased Potency. While you are attuned to this arma, its bonus on attack and dano rolls increases to +2, and a hit deals an extra 2d6 necrotic dano (instead of 1d6).

Spells. Hazirawn has 4 charges to cast spells. As long as the sword is attuned to you and you are holding it in your hand, you can cast detect magic (1 charge), detect maligno and bueno (1 charge), or detect thoughts (2 charges). Each night at midnight, Hazirawn regains 1d4 expended charges.

Wounding. While you are attuned to the arma, any creature that you hit with Hazirawn can't regain puntos de golpe for 1 minute. el objetivo can make a DC 15 Constitution tirada de salvacion at the end of each of its turns, ending this effect early on a success.

Heavy. Creatures that are Pequeno or Diminuto have disadvantage on attack rolls with heavy weapons. A heavy arma's size and bulk make it too Grande for a Pequeno or Diminuto creature to use effectively.

Two-Handed. This arma requires two hands to use. This property is relevant only when you attack with the arma, not when you simply hold it."
Headband of Intellect,DMG'24,268,poco comun,objeto maravilloso,requiere sintonia,,,,,,Your Intelligence score is 19 while you wear this headband. It has no effect on you if your Intelligence is 19 or higher without it.
Healer's Kit,PHB'24,225,ninguno,Adventuring Gear,,,,,3 lb.,5 GP,"A Healer's Kit has ten uses. As a Utilize action, you can expend one of its uses to stabilize an inconsciente creature that has 0 puntos de golpe without needing to make a Wisdom (Medicine) check."
Heart Weaver's Primer,TCE,128,raro,"objeto maravilloso, Spellcasting Focus",requiere sintonia By a Wizard,,,,3 lb.,,"This pristine book smells faintly of a random scent you find pleasing. When found, the book contains the following spells: antipathy/sympathy, charm person, dominate person, enthrall, hypnotic pattern, modify memory, and suggestion. It functions as a spellbook for you.

While you are holding the book, you can use it as a spellcasting focus for your wizard spells.

The book has 3 charges, and it regains 1d3 expended charges daily at dawn. You can use the charges in the following ways while holding it:

If you spend 1 minute studying the book, you can expend 1 charge to replace one of your prepared wizard spells with a different spell in the book. The new spell must be of the enchantment school.When you cast an enchantment spell, you can expend 1 charge to impose disadvantage on the first tirada de salvacion un objetivo makes against the spell."
Heartstone,MM'14,179,muy raro,Other,,,,,,,This lustrous black gem allows a night hag to become ethereal while it is in her possession. The touch of a heartstone also cures any disease. Crafting a heartstone recibe 30 days.
Heavy Crossbow,PHB'24,215,ninguno,"arma, Martial arma, Ranged arma",,1d10 Piercing,"Ammunition (Alcance 100/400 pies; Bolt), Heavy, Loading, Two‑Handed",Mastery: Push,18 lb.,50 GP,"Alcance. A Alcance arma has a Alcance in parentheses after the Ammunition or Thrown property. The Alcance lists two numbers. The first is the arma's normal Alcance in pies, and the second is the arma's long Alcance. When attacking a target beyond normal Alcance, you have Disadvantage on the attack roll. You can't attack a target beyond the long Alcance.

Ammunition. You can use a arma that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the arma's Alcance. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed arma). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost.

Heavy. You have Disadvantage on attack rolls with a Heavy arma if it's a Melee arma and your Strength score isn't at least 13 or if it's a Ranged arma and your Dexterity score isn't at least 13.

Loading. You can fire only one piece of ammunition from a Loading arma when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make.

Two-Handed. A Two-Handed arma requires two hands when you attack with it.

Mastery: Push. If you hit a creature with this arma, you can push the creature up to 10 pies straight away from yourself if it is Grande or smaller."
Hell Hound Cloak,TftYP,228,raro,objeto maravilloso,requiere sintonia,,,,1 lb.,,"This dark cloak is made of cured hell hound hide. As an action, you can command the cloak to transform you into a hell hound for up to 1 hour. The transformation otherwise functions as the polymorph spell, but you can use a bonus action to revert to your normal form.

Curse. This cloak is cursed with the essence of a hell hound, and becoming attuned to it extends the curse to you. Until the curse is broken with remove curse or similar magic, you are unwilling to part with the cloak, keeping it within reach at all times.

The sixth time you use the cloak, and each time thereafter, you must make a DC 15 Charisma tirada de salvacion. On a failed save, the transformation lasts until dispelled or until you drop to 0 puntos de golpe, and you can't willingly return to normal form. If you ever remain in hell hound form for 6 hours, the transformation becomes permanent and you lose your sense of self. All your statistics are then replaced by those of a hell hound. Thereafter, only remove curse or similar magic allows you to regain your identity and return to normal. If you remain in this permanent form for 6 days, only a wish spell can reverse the transformation."
