"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Capa de perro del infierno","TftYP","228","extraño","Objeto maravilloso","Requiere sintonización","","","","1 lb.","","Esta capa oscura está hecha de piel de perro del infierno curada. Como acción, puedes ordenarle a la capa que te transforme en un perro del infierno durante hasta 1 hora. Por lo demás, la transformación funciona como el hechizo polimorfismo, pero puedes usar una acción adicional para volver a tu forma normal.

Maldición. Esta capa está maldita con la esencia de un perro del infierno, y sintonizarte con ella te extiende la maldición. Hasta que la maldición se rompa con eliminar maldición o magia similar, no estás dispuesto a desprenderte de la capa, manteniéndola a tu alcance en todo momento.

La sexta vez que uses la capa, y cada vez posterior, debes realizar una tirada de salvación de Carisma CD 15. En caso de una salvación fallida, la transformación dura hasta que se disipa o hasta que bajes a 0 puntos de vida, y no podrás volver voluntariamente a tu forma normal. Si alguna vez permaneces en forma de perro del infierno durante 6 horas, la transformación se vuelve permanente y pierdes el sentido de ti mismo. Luego, todas tus estadísticas serán reemplazadas por las de un perro del infierno. A partir de entonces, sólo eliminar una maldición o magia similar te permitirá recuperar tu identidad y volver a la normalidad. Si permaneces en esta forma permanente durante 6 días, sólo un hechizo de deseo puede revertir la transformación."
"Arma de fuego infernal","BGDIA","223","poco común","Variante genérica","","","","","","","Esta arma está hecha de hierro infernal y tiene vetas de fuego infernal que arrojan una luz tenue en un radio de 5 pies.

Cualquier humanoide asesinado por un ataque realizado con esta arma tiene su alma canalizada al río Styx, donde renace instantáneamente como un demonio lémur.

Artículos básicos. Esta variante de artículo se puede aplicar a los siguientes artículos básicos:

Rifle de antimateria (Rifle de antimateria Hellfire)Rifle automático (Rifle automático Hellfire)Hacha de batalla (Hellfire Battleaxe)Cerbatana (Hellfire Blowgun)Club (Hellfire Club)Daga (Hellfire Dagger)Dardo (Hellfire Dart)Cimitarra de doble hoja (Hellfire Double-Bladed Scimitar)Mayal (Hellfire Flail)Glaive (Hellfire Glaive)Gran hacha (Hellfire Greataxe)Gran garrote (Hellfire Greatclub)Gran espada (Hellfire Greatsword)Alabarda (Hellfire Halberd)Ballesta de mano (Hellfire Hand Ballesta)Handaxe (Hellfire Handaxe)Ballesta pesada (Hellfire Heavy Ballesta)Lanza corta con gancho (Hellfire Hooked Shortspear)Hoopak (Hellfire Hoopak)Rifle de caza (Rifle de caza Hellfire)Jabalina (Hellfire Javelin)Lanza (Hellfire Lance)Pistola láser (Hellfire Laser Pistol)Rifle láser (Hellfire Laser Rifle)Ballesta ligera (Hellfire Light Ballesta)Martillo ligero (Hellfire Light Hammer)Ballesta ligera de repetición (Hellfire Light Ballesta de repetición)Arco largo (Hellfire Longbow)Espada larga (Hellfire Longsword)Maza (Hellfire Mazo)Maul (Hellfire Maul)Morningstar (Hellfire) Morningstar)Musquete (Musquete Hellfire)Pike (Hellfire Pike)Pistola (Hellfire Pistol)Quartersstaff (Hellfire Quarterstaff)Estoque (Hellfire Quarterstaff)Estoque (Hellfire Revolver)Revólver (Hellfire Revolver)Cimitarra (Hellfire Scimitar)Pistola semiautomática (Hellfire Semiautomatic Pistol)Arco corto (Hellfire Shortbow)Espada corta (Hellfire Shortword)Escopeta (Escopeta Hellfire)Hoz (Hellfire Hoz)Honda (Hellfire Sling)Lanza (Hellfire Spear)Tridente (Hellfire Trident)War Pick (Hellfire War Pick)Warhammer (Hellfire Warhammer)Látigo (Hellfire Whip)Yklwa (Hellfire Yklwa)"
"Yelmo de la conciencia","EFA","112","poco común","Objeto maravilloso","","","","","","","Mientras uses este casco, tendrás Ventaja en las tiradas de Iniciativa."
"Yelmo de brillantez","DMG'24","268","muy raro","Objeto maravilloso","Requiere sintonización","","","","","","Este yelmo está engastado con 1d10 diamantes, 2d10 rubíes, 3d10 ópalos de fuego y 4d10 ópalos. Cualquier gema arrancada del yelmo se convierte en polvo. Cuando se eliminan o destruyen todas las gemas, el yelmo pierde su magia.

Obtienes los siguientes beneficios mientras llevas el timón.

Luz de diamante. Mientras tenga al menos un diamante, el yelmo emite una emanación de 30 pies. Cuando hay al menos un No-muerto dentro de esa área, la Emanación se llena de Luz Tenue. Cualquier No-muerto que comience su turno en esa área sufre 1d6 de daño Radiante.

Llamas de ópalo de fuego. Siempre que el yelmo tenga al menos un ópalo de fuego, puedes realizar una acción mágica para hacer que un arma que estás sosteniendo estalle en llamas. Las llamas emiten luz brillante en un radio de 10 pies y luz tenue en 10 pies adicionales. Las llamas son inofensivas para ti y el arma. Cuando golpeas con un ataque usando el arma ardiente, el objetivo sufre 1d6 de daño de Fuego adicional. Las llamas duran hasta que realizas una acción adicional para extinguirlas o hasta que dejas caer o guardas el arma.

Resistencia Rubí. Mientras el yelmo tenga al menos un rubí, tienes daño de Resistencia al Fuego.

Hechizos. Puedes lanzar uno de los siguientes hechizos (salvo CD 18), usando una de las gemas del yelmo del tipo especificado como componente: Luz del día (ópalo), Bola de fuego (ópalo de fuego), Aerosol prismático (diamante) o Muro de fuego (rubí). La gema se destruye cuando se lanza el hechizo y desaparece del yelmo.

Recibiendo daño por fuego. Tira 1d20 si llevas el yelmo y sufres daño de Fuego como resultado de fallar una tirada de salvación contra un hechizo. Con una tirada de 1, el yelmo emite rayos de luz desde las gemas restantes y luego es destruido. Cada criatura dentro de una Emanación de 60 pies que se origine en ti debe superar una tirada de salvación de Destreza CD 17 o será golpeada por un rayo, recibiendo un daño Radiante igual al número de gemas en el yelmo."
"Yelmo de comprensión de idiomas","DMG'24","268","poco común","Objeto maravilloso","","","","","","","Mientras usas este yelmo, puedes lanzar Comprender idiomas desde él."
"Yelmo del comando del diablo","BGDIA","223","muy raro","Objeto maravilloso","Requiere sintonía con una criatura que puede hablar infernal","","","","","","Este casco voluminoso y sin ojos está hecho para un demonio del abismo, pero cambia mágicamente de tamaño para adaptarse a las cabezas de otros usuarios.

Mientras usas el yelmo, puedes ver a través de él como si no lo estuvieras usando. Además, conoces la ubicación exacta y el tipo de todos los demonios que se encuentren a 1000 pies de ti. Puedes comunicarte telepáticamente con un demonio dentro de tu alcance, o puedes transmitir tus pensamientos a todos los demonios dentro de tu alcance. Los demonios que reciben tus pensamientos transmitidos no tienen medios especiales para responderles.

El timón tiene 3 cargas. Como acción, puedes gastar 1 carga para lanzar dominar monstruo (salvo CD 21), que afecta sólo a los demonios. (El hechizo falla y la carga se desperdicia si apuntas a cualquier criatura que no sea un diablo). Si un diablo puede verte cuando le lanzas este hechizo, el diablo sabe que intentaste encantarlo. El timón recupera todas sus cargas 24 horas después de que se agote la última carga.

Si no eres un demonio, usar la propiedad de monstruo dominante del yelmo en los Nueve Infiernos tiene un 20 por ciento de posibilidades de atraer un narzugon, que llega a lomos de una montura de pesadilla en 1d4 horas. El narzugon intenta recuperar el yelmo, matándote si es necesario para obtenerlo. Si consigue el timón, el narzugon intenta entregárselo a su amo infernal."
"Yelmo del potencial perfecto","BGG","112","artefacto","Objeto maravilloso","Requiere sintonización","","","","","","Este yelmo en tonos cobrizos contiene un fragmento del Caos Elemental incrustado en su frente, rodeado por el motivo de un sol naciente. La leyenda dice que Annam diseñó este yelmo para que su hija Diancastra sostuviera el fragmento de caos que usó para demostrarle su valía a su padre.

Propiedades aleatorias. El yelmo tiene las siguientes propiedades aleatorias, determinadas tirando en la tabla correspondiente en la Guía del Dungeon Master:

2 propiedades beneficiosas menores 1 propiedad beneficiosa mayor 1 propiedad perjudicial menor Master of Guile. Mientras llevas el yelmo, tienes ventaja en las pruebas de Carisma (Engaño) y Sabiduría (Perspicacia).

Flecha de caos elemental. Como acción adicional mientras usas el yelmo, puedes lanzar un rayo de energía elemental abrasadora hacia una criatura que puedas ver a 90 pies de ti. El objetivo debe realizar una tirada de salvación de Destreza CD 20. Si falla la salvación, la criatura sufre 4d6 daños por ácido, frío, fuego, relámpago o trueno (tú eliges). Con una salvación exitosa, la criatura sufre la mitad de daño.

Lanzamiento de hechizos. El yelmo tiene 6 cargas y recupera 1d6 cargas cada amanecer. Como acción mientras llevas el yelmo, puedes gastar 1 o más de sus cargas para lanzar uno de los siguientes hechizos (salvo CD 20): arma elemental (1 carga), invocar relámpago (2 cargas), muro de fuego (3 cargas), conjurar elemental (4 cargas), tsunami (5 cargas)."
"Yelmo de telepatía","DMG'24","268","poco común","Objeto maravilloso","Requiere sintonización","","","","","","Mientras usas este yelmo, tienes telepatía con un alcance de 30 pies y puedes lanzar Detectar pensamientos o sugerencias (salvación CD 13) desde el yelmo. Una vez que cualquiera de los hechizos se lanza desde el yelmo, ese hechizo no se puede volver a lanzar hasta el siguiente amanecer."
"Yelmo de teletransportación","DMG'24","268","extraño","Objeto maravilloso","Requiere sintonización","","","","","","Este timón tiene 3 cargas. Mientras lo usas, puedes gastar 1 carga para lanzar Teleport desde él. El timón recupera 1d3 cargas gastadas diariamente al amanecer."
"Timón de acción submarina","GoS","229","poco común","Objeto maravilloso","Requiere sintonización","","","","","","Mientras usa este casco de latón, puede respirar bajo el agua, obtiene visión en la oscuridad con un alcance de 60 pies y obtiene una velocidad de natación de 30 pies."
"Yelmo de los dioses","MOT","196","extraño","Objeto maravilloso","Requiere sintonización","","","","","","Mientras usas este yelmo, sabes si hay un celestial o un demonio a 30 pies de ti, así como dónde se encuentra la criatura, siempre que no esté detrás de una cobertura total.

Siempre que termines un descanso prolongado mientras llevas el yelmo, puedes rezarle a uno de los dioses enumerados en la tabla Yelmo de los Dioses y almacenar el hechizo enumerado en el yelmo, reemplazando cualquier hechizo que ya esté almacenado allí. La CD de salvación para el hechizo es 13.

El timón tiene 3 cargas. Para lanzar un hechizo desde el yelmo, debes gastar 1 carga y el yelmo recupera 1d3 cargas diarias al amanecer.

DiosHechizoAthreosprotección del mal y del bienEpharasantuarioErebosinfligir heridasHeliodoperno guíaIroasheroísmoKarametragoodberryKeranosgolpe atronadorKlothysentangleKruphixsusurros disonantesMogishellish reprensiónNyleafaerie fuegoPharikalesser restauraciónPhenaxcharm personaPurphoroshirimiento abrasadorThassaidentificar"
"Yelmo del carroñero","WDMM","297","legendario","Objeto maravilloso","Requiere sintonía por parte de un lanzador de conjuros","","","","","","Esta silla ornamentada está diseñada para propulsar y maniobrar una nave a través del espacio.

Propiedades pasivas. Las siguientes propiedades del yelmo entran en juego incluso cuando ninguna criatura está en sintonía con él:

Cuando se coloca a bordo de un barco que pesa entre 1 y 100 toneladas, el timón genera una envoltura de aire fresco alrededor del barco mientras se encuentra en el vacío del espacio (pero no bajo el agua). Esta envoltura se extiende desde los bordes del casco en todas direcciones por una distancia igual a la manga del barco, de modo que las criaturas a bordo y cerca del barco puedan respirar normalmente en el espacio. La temperatura dentro de la envoltura de aire es de 70 grados Fahrenheit. Cuando se coloca a bordo de un barco que pesa entre 1 y 100 toneladas, el timón genera un campo de gravedad artificial mientras el barco está en el vacío del espacio, de modo que las criaturas pueden caminar sobre las cubiertas del barco como lo harían normalmente. Las criaturas y objetos que caen por la borda se balancean en un plano de gravedad que se extiende desde la cubierta principal por una distancia igual en longitud a la manga del barco. Propiedades activas. La sensación de estar en sintonía con el timón es similar a la de estar sumergido en agua tibia. Mientras estás en sintonía con el timón, obtienes las siguientes habilidades mientras estás sentado en él:

Puedes usar el timón para impulsar la embarcación a través o a través del agua y otros líquidos a una velocidad máxima en millas por hora igual a tu espacio de hechizo no gastado de nivel más alto. Puedes usar el timón para propulsar la embarcación a través del aire o el espacio a una velocidad máxima en millas por hora igual a tu espacio de hechizo no gastado de nivel más alto × 10. Siempre que tengas al menos un espacio de hechizo no gastado, puedes dirigir la embarcación, aunque de una manera un tanto torpe, de manera mucho más fácil. de la misma manera que los remos o el timón pueden maniobrar un barco marinero. Cuando quieras, puedes ver lo que sucede en el barco y sus alrededores como si estuvieras parado en el lugar que elijas a bordo. Inconveniente. Mientras estás en sintonía con el yelmo, no puedes gastar tus propios espacios de hechizo."
"Kit de herboristería","PHB'24","221","ninguno","Herramienta","","","","","3 lb.","5 GP","Habilidad: Inteligencia

Utilizar: Identificar una planta (CD 10)

Artesanía: antitoxina, vela, kit de sanador, poción de curación

Si tienes competencia con una herramienta, agrega tu Bonificación de Competencia a cualquier prueba de habilidad que realices que utilice la herramienta. Si tienes competencia en una habilidad que se usa con esa prueba, también tienes Ventaja en la prueba."
"Hereje","QftIS","191","legendario","Arma (espada larga), arma marcial, arma cuerpo a cuerpo","Requiere sintonía con una criatura no buena","1d8 Corte","versátil (1d10)","","3 lb.","","El arma blasfema Hereje fue creada por una secta para robar poder de los dioses alineados con el bien. La espada tiene hambre de derribar a los sirvientes de los Planos Superiores y debilitar las fuerzas del bien.

Obtienes una bonificación de +3 a las tiradas de ataque y daño realizadas con esta arma mágica. Heretic tiene 6 cargos por las siguientes propiedades; la espada recupera 1d4 + 1 cargas diarias al amanecer:

Destruye la devoción. Una vez por turno, cuando golpeas a una criatura con esta arma, puedes gastar 1 de sus cargas para intentar dejar al objetivo impotente. El objetivo debe superar una tirada de salvación de Constitución CD 17 o quedar paralizado hasta el comienzo de tu siguiente turno. Los celestes tienen desventaja en la parada.

Cazador de fe. Mientras sostienes la espada, puedes usar una acción para gastar 1 o más de sus cargas para lanzar uno de los siguientes hechizos: Detectar el bien y el mal (1 carga), Volar (2 cargas) o Ver verdaderamente (3 cargas).

Sentimiento. Heretic es un arma maligna, caótica y sensible con una Inteligencia de 17, una Sabiduría de 17 y un Carisma de 15. Tiene audición y visión en la oscuridad en un alcance de 120 pies.

El arma puede hablar, leer y comprender lo común y lo gigante, y puede comunicarse telepáticamente con su portador. Su voz es suave y profunda, pero se eleva con un furor salvaje cuando es consciente de la presencia de Celestiales o adoradores de deidades alineadas con el bien. Si bien estás en sintonía con él, Heretic también comprende todos los idiomas que conoces.

Personalidad. Hereje anhela la destrucción de los dioses bien alineados y sus partidarios. La espada es condescendiente y snob, especialmente en compañía de sacerdotes y otras personas piadosas, a quienes a menudo dirige comentarios despectivos. Cuando Heretic identifica a su presa, estalla en una frenética necesidad de violencia.

Versátil. Esta arma se puede utilizar con una o dos manos. Junto a la propiedad aparece un valor de daño entre paréntesis: el daño cuando el arma se usa con las dos manos para realizar un ataque cuerpo a cuerpo."
"Labrar","PaBTSO","54","poco común","Arma (hacha de batalla), arma marcial, arma cuerpo a cuerpo","","1d8 Corte","versátil (1d10)","","4 lb.","","Tienes una bonificación de +1 a las tiradas de ataque y daño realizadas con esta arma mágica.

Hew es un hacha de batalla +1 que causa el máximo daño cuando el portador ataca a una criatura Planta o un objeto hecho de madera. El creador del hacha la utilizó como protección en el bosque mientras cortaba leña.

Versátil. Esta arma se puede utilizar con una o dos manos. Junto a la propiedad aparece un valor de daño entre paréntesis: el daño cuando el arma se usa con las dos manos para realizar un ataque cuerpo a cuerpo."
"La práctica mochila de Heward","DMG'24","269","extraño","Objeto maravilloso","","","","","5 lb.","","Esta mochila tiene un bolsillo central y dos bolsillos laterales, cada uno de los cuales es un espacio extradimensional. Cada bolsa lateral puede contener hasta 200 libras de material, sin exceder un volumen de 25 pies cúbicos. La bolsa central puede contener hasta 500 libras de material, sin exceder un volumen de 64 pies cúbicos. La mochila siempre pesa 5 libras, independientemente de su contenido.

Recuperar un objeto de la mochila requiere una acción de Utilizar o una Acción de Bonificación (tu elección). Cuando buscas en la mochila un artículo específico, el artículo siempre está mágicamente en la parte superior.

Si alguna de sus bolsas se sobrecarga, se perfora o se rompe, la mochila se rompe y se destruye. Si la mochila se destruye, su contenido se pierde para siempre, aunque siempre vuelve a aparecer un Artefacto en alguna parte. Si se da la vuelta a la mochila, su contenido se derrama ileso y hay que arreglar la mochila antes de poder volver a utilizarla.

Cada bolsa de la mochila contiene suficiente aire para 10 minutos de respiración, dividido por la cantidad de criaturas que respiran en su interior.

Colocar la mochila dentro de un espacio extradimensional creado por una bolsa de almacenamiento, un agujero portátil o un elemento similar destruye instantáneamente ambos elementos y abre una puerta al plano astral. La puerta se origina donde se colocó un elemento dentro del otro. Cualquier criatura dentro de 10 pies de la puerta y no detrás de la Cobertura Total es succionada a través de ella y depositada en una ubicación aleatoria en el Plano Astral. Entonces la puerta se cierra. La puerta es unidireccional y no se puede volver a abrir."
"Práctica bolsa de especias de Heward","DMG'24","269","común","Objeto maravilloso","","","","","","","Esta bolsa para cinturón parece vacía y tiene 10 cargas. Mientras sostienes la bolsa, puedes realizar una acción mágica para gastar 1 carga, nombrar cualquier condimento alimentario no mágico (como sal, pimienta, azafrán o cilantro) y quitar una pizca del condimento deseado de la bolsa. Una pizca es suficiente para condimentar una sola comida. La bolsa recupera 1d6 + 4 cargas gastadas diariamente al amanecer."
"Ocultar armadura","PHB'24","219","ninguno","Armadura media","","CA 12 + Dex (máximo 2)","","","12 lb.","10 GP",""
"Piel del guardián salvaje","EGW","271","legendario","Armadura ligera (armadura de cuero tachonada)","Requiere sintonización","CA 12 + Dex","Vestigio","","13 lb.","","Se cree que esta armadura de cuero pulida y bellamente detallada fue un regalo de Melora, otorgado a un archidruida y campeón del mundo natural olvidado hace mucho tiempo antes de los terrores de la Calamidad.

Vestigio de divergencia. Este objeto es un Vestigio de divergencia; consulte Vestigios de divergencia para obtener más información.

Existen múltiples variaciones de este artículo, como se enumeran a continuación:

Piel del guardián salvaje (inactivo)Piel del guardián salvaje (despierto)Piel del guardián salvaje (exaltado)"
"Piel del guardián salvaje (despertado)","EGW","271","legendario","Armadura ligera (armadura de cuero tachonada)","Requiere sintonización","CA 12 + Dex","Vestigio","","13 lb.","","Se cree que esta armadura de cuero pulida y bellamente detallada fue un regalo de Melora, otorgado a un archidruida y campeón del mundo natural olvidado hace mucho tiempo antes de los terrores de la Calamidad.

Latente. Mientras usas la armadura en su estado inactivo, obtienes los siguientes beneficios:

La armadura te otorga una bonificación de +1 a la CA. Mientras eres transformado por un efecto que reemplaza cualquiera de tus estadísticas del juego con las de otra criatura, tienes una bonificación de +1 al ataque cuerpo a cuerpo y a las tiradas de daño, y conservas los beneficios de esta armadura. Como acción, puedes usar la armadura para lanzarte polimorfismo, transformándote en un búho gigante mientras conservas tus puntuaciones de Inteligencia, Sabiduría y Carisma. Esta propiedad no podrá volver a utilizarse hasta el próximo amanecer. Despertado. Cuando la armadura alcanza un estado despierto, adquiere las siguientes propiedades:

El bono de CA de la armadura aumenta a +2. Mientras eres transformado por un efecto que reemplaza cualquiera de tus estadísticas del juego con las de otra criatura, tu bono al ataque cuerpo a cuerpo y a las tiradas de daño aumenta en 1 (a +2). Cuando lanzas el hechizo polimorfizar usando esta armadura, puedes transformarte en un oso de las cavernas. Vestigio de divergencia. Este objeto es un Vestigio de divergencia; consulte Vestigios de divergencia para obtener más información."
"Piel del guardián salvaje (inactivo)","EGW","271","legendario","Armadura ligera (armadura de cuero tachonada)","Requiere sintonización","CA 12 + Dex","Vestigio","","13 lb.","","Se cree que esta armadura de cuero pulida y bellamente detallada fue un regalo de Melora, otorgado a un archidruida y campeón del mundo natural olvidado hace mucho tiempo antes de los terrores de la Calamidad.

Latente. Mientras usas la armadura en su estado inactivo, obtienes los siguientes beneficios:

La armadura te otorga una bonificación de +1 a la CA. Mientras eres transformado por un efecto que reemplaza cualquiera de tus estadísticas del juego con las de otra criatura, tienes una bonificación de +1 al ataque cuerpo a cuerpo y a las tiradas de daño, y conservas los beneficios de esta armadura. Como acción, puedes usar la armadura para lanzarte polimorfismo, transformándote en un búho gigante mientras conservas tus puntuaciones de Inteligencia, Sabiduría y Carisma. Esta propiedad no podrá volver a utilizarse hasta el próximo amanecer. Vestigio de divergencia. Este objeto es un Vestigio de divergencia; consulte Vestigios de divergencia para obtener más información."
"Piel del guardián salvaje (exaltado)","EGW","271","legendario","Armadura ligera (armadura de cuero tachonada)","Requiere sintonización","CA 12 + Dex","Vestigio","","13 lb.","","Se cree que esta armadura de cuero pulida y bellamente detallada fue un regalo de Melora, otorgado a un archidruida y campeón del mundo natural olvidado hace mucho tiempo antes de los terrores de la Calamidad.

Latente. Mientras usas la armadura en su estado inactivo, obtienes los siguientes beneficios:

La armadura te otorga una bonificación de +1 a la CA. Mientras eres transformado por un efecto que reemplaza cualquiera de tus estadísticas del juego con las de otra criatura, tienes una bonificación de +1 al ataque cuerpo a cuerpo y a las tiradas de daño, y conservas los beneficios de esta armadura. Como acción, puedes usar la armadura para lanzarte polimorfismo, transformándote en un búho gigante mientras conservas tus puntuaciones de Inteligencia, Sabiduría y Carisma. Esta propiedad no podrá volver a utilizarse hasta el próximo amanecer. Despertado. Cuando la armadura alcanza un estado despierto, adquiere las siguientes propiedades:

El bono de CA de la armadura aumenta a +2. Mientras eres transformado por un efecto que reemplaza cualquiera de tus estadísticas del juego con las de otra criatura, tu bono al ataque cuerpo a cuerpo y a las tiradas de daño aumenta en 1 (a +2). Cuando lanzas el hechizo polimorfizar usando esta armadura, puedes transformarte en un oso de las cavernas. Exaltado. Cuando la armadura alcanza un estado exaltado, adquiere las siguientes propiedades:

La bonificación de CA de la armadura aumenta a +3. Mientras eres transformado por un efecto que reemplaza cualquiera de tus estadísticas del juego con las de otra criatura, tu bonificación al ataque cuerpo a cuerpo y a las tiradas de daño aumenta en 1 (a +3). Cuando lanzas el hechizo polimorfizar usando esta armadura, puedes transformarte en un lobo guardián. Vestigio de divergencia. Este objeto es un Vestigio de divergencia; consulte Vestigios de divergencia para obtener más información."
"La práctica mochila de Holly","WttHC","undefined","extraño","Objeto maravilloso","","","","","5 lb.","","Esta mochila tiene un bolsillo central y dos bolsillos laterales, cada uno de los cuales es un espacio extradimensional. Cada bolsa lateral puede contener hasta 200 libras de material, sin exceder un volumen de 25 pies cúbicos. La bolsa central puede contener hasta 500 libras de material, sin exceder un volumen de 64 pies cúbicos. La mochila siempre pesa 5 libras, independientemente de su contenido.

Recuperar un objeto de la mochila requiere una acción de Utilizar o una Acción de Bonificación (tu elección). Cuando buscas en la mochila un artículo específico, el artículo siempre está mágicamente en la parte superior.

Si alguna de sus bolsas se sobrecarga, se perfora o se rompe, la mochila se rompe y se destruye. Si la mochila se destruye, su contenido se pierde para siempre, aunque siempre vuelve a aparecer un Artefacto en alguna parte. Si se da la vuelta a la mochila, su contenido se derrama ileso y hay que arreglar la mochila antes de poder volver a utilizarla.

Cada bolsa de la mochila contiene suficiente aire para 10 minutos de respiración, dividido por la cantidad de criaturas que respiran en su interior.

Colocar la mochila dentro de un espacio extradimensional creado por una bolsa de almacenamiento, un agujero portátil o un elemento similar destruye instantáneamente ambos elementos y abre una puerta al plano astral. La puerta se origina donde se colocó un elemento dentro del otro. Cualquier criatura dentro de 10 pies de la puerta y no detrás de la Cobertura Total es succionada a través de ella y depositada en una ubicación aleatoria en el Plano Astral. Entonces la puerta se cierra. La puerta es unidireccional y no se puede volver a abrir."
"Santo Vengador","DMG'24","269","legendario","Variante genérica","Requiere sintonía por parte de un paladín","","","","","","Obtienes una bonificación de +3 a las tiradas de ataque y de daño realizadas con esta arma mágica. Cuando golpeas a un demonio o un no-muerto con él, esa criatura sufre 2d10 de daño radiante adicional.

Mientras sostienes el arma desenvainada, se crea una emanación de 10 pies que se origina en ti. Tú y todas las criaturas amigas tuyas en la Emanación tenéis ventaja en las tiradas de salvación contra hechizos y otros efectos mágicos. Si tienes 17 o más niveles en la clase Paladín, el tamaño de la Emanación aumenta a 30 pies.

Artículos básicos. Esta variante de artículo se puede aplicar a los siguientes artículos básicos:

Rifle de antimateria (Holy Avenger Rifle de antimateria)Rifle automático (Rifle automático Holy Avenger)Hacha de batalla (Holy Avenger Battleaxe)Cerbatana (Holy Avenger Blowgun)Club (Holy Avenger Club)Daga (Holy Avenger Dagger)Dardo (Holy Avenger Dart)Cimitarra de doble hoja (Holy Avenger Double-Bladed Scimitar)Mayal (Holy Avenger) Mayal)Guja (Holy Avenger Glaive)Gran hacha (Holy Avenger Greataxe)Gran garrote (Holy Avenger Greatclub)Gran espada (Holy Avenger Greatsword)Alabarda (Holy Avenger Halberd)Ballesta de mano (Holy Avenger Hand Ballesta)Handaxe (Holy Avenger Handaxe)Ballesta pesada (Holy Avenger Heavy Crossbow)Lanza corta con gancho (Holy Avenger Hooked Shortspear)Hoopak (Holy Avenger Hoopak)Rifle de caza (Holy Avenger Hunting Rifle)Jabalina (Holy Avenger Javelin)Lanza (Holy Avenger Lance)Pistola láser (Holy Avenger Laser Pistol)Rifle láser (Holy Avenger Laser Rifle)Ballesta ligera (Holy Avenger Light Crossbow)Martillo ligero (Holy Avenger Light Hammer)Ballesta ligera de repetición (Holy Avenger Light) Ballesta de repetición)Arco largo (Holy Avenger Longbow)Espada larga (Holy Avenger Longsword)Maza (Holy Avenger Mace)Maul (Holy Avenger Maul)Morningstar (Holy Avenger Morningstar)Musquete (Holy Avenger Mosquete)Pica (Holy Avenger Pike)Pistola (Holy Avenger Pistol)Cuartel (Holy Avenger Quarterstaff)Estoque (Holy) Avenger Rapier)Revólver (Holy Avenger Revolver)Cimitarra (Holy Avenger Scimitar)Pistola semiautomática (Holy Avenger Pistola semiautomática)Arco corto (Holy Avenger Shortbow)Espada corta (Holy Avenger Shortword)Escopeta (Holy Avenger Shotgun)Hoz (Holy Avenger Sickle)Honda (Holy Avenger Sling)Lanza (Holy Avenger) Lanza)Bastón (Holy Avenger Staff)Tridente (Holy Avenger Trident)Película de guerra (Holy Avenger War Pick)Warhammer (Holy Avenger Warhammer)Látigo (Holy Avenger Whip)Bastón de madera (Holy Avenger Wooden Staff)Yklwa (Holy Avenger Yklwa)"
"Símbolo Santo","PHB'24","226","ninguno","Enfoque de lanzamiento de hechizos","","","","","","","Un Símbolo Sagrado toma una forma específica y está adornado con joyas o pintado para canalizar la magia divina. Un clérigo o paladín puede utilizar un símbolo sagrado como foco de lanzamiento de hechizos.

Existen múltiples variaciones de este artículo, como se enumeran a continuación:

AmuletoEmblemaRelicario"
"Símbolo sagrado de Ravenkind","CoS","222","legendario","Objeto maravilloso","Requiere sintonía por parte de un clérigo o paladín de buena alineación","","","","","","El Símbolo Sagrado de Ravenkind es un símbolo sagrado único y sagrado para los fieles de buen corazón de Barovia. Es anterior al establecimiento de cualquier iglesia en Barovia. Según la leyenda, fue entregado a un paladín llamado Lugdana por un cuervo gigante, o un ángel con forma de cuervo gigante. Lugdana usó el símbolo sagrado para erradicar y destruir nidos de vampiros hasta su muerte. Los sumos sacerdotes de Ravenloft conservaron y portaron el símbolo sagrado después del fallecimiento de Lugdana.

El símbolo sagrado es un amuleto de platino con forma de sol, con un gran cristal incrustado en el centro.

El símbolo sagrado tiene 10 cargas para las siguientes propiedades. Recupera 1d6 + 4 cargas diarias al amanecer.

Mantenga a los vampiros. Como acción, puedes gastar 1 carga y presentar el símbolo sagrado para que brille con poder sagrado. Los vampiros y los vampiros que aparecen a menos de 30 pies del símbolo sagrado cuando éste brilla deben realizar una tirada de salvación de Sabiduría CD 15. Si falla la salvación, el objetivo queda paralizado durante 1 minuto. Puede repetir la tirada de salvación al final de sus turnos para finalizar el efecto sobre sí mismo.

Conviértete en no-muerto. Si tienes la función Turn Undead o Turn the Unholy, puedes gastar 3 cargas cuando presentes el símbolo sagrado mientras usas esa función. Cuando lo haces, los muertos vivientes tienen desventaja en sus tiradas de salvación contra el efecto.

Luz del sol. Como acción, puedes gastar 5 cargas mientras presentas el símbolo sagrado para que arroje luz brillante en un radio de 30 pies y luz tenue durante 30 pies adicionales. La luz es luz solar y dura 10 minutos o hasta finalizar el efecto (no requiere acción)."
"Agua santa","PHB'24","226","ninguno","Equipo de aventuras","","","","","1 lb.","25 GP","Cuando realizas la acción de Ataque, puedes reemplazar uno de tus ataques lanzando un frasco de Agua Bendita. Apunta a una criatura que puedas ver a 20 pies de ti. El objetivo debe superar una tirada de salvación de Destreza (CD 8 más tu modificador de Destreza y Bonificación de Competencia) o recibir 2d8 de daño Radiante si es un Demonio o un No-muerto."
